time_s,gaze_x,gaze_y,gaze_z,pupil_size_mm,head_x,head_y,head_z
1.8333,0.0,0.0,1.0,0.0,-0.066,1.6,-8.634
1.848,0.0,0.0,1.0,0.0,-0.066,1.6,-8.635
1.8609,0.0,0.0,1.0,0.0,-0.066,1.6,-8.635
1.8762,0.0,0.0,1.0,0.0,-0.065,1.6,-8.635
1.889,0.0,0.0,1.0,0.0,-0.065,1.6,-8.636
1.9026,0.0,0.0,1.0,0.0,-0.064,1.6,-8.636
1.9166,0.0,0.0,1.0,0.0,-0.064,1.6,-8.636
1.93,0.0,0.0,1.0,0.0,-0.063,1.6,-8.636
1.9438,0.0,0.0,1.0,0.0,-0.064,1.6,-8.636
1.9594,0.0,0.0,1.0,0.0,-0.064,1.6,-8.637
1.9719,0.0,0.0,1.0,0.0,-0.063,1.6,-8.637
1.9855,0.0,0.0,1.0,0.0,-0.063,1.6,-8.637
1.9997,0.0,0.0,1.0,0.0,-0.063,1.6,-8.638
2.0136,0.0,0.0,1.0,0.0,-0.062,1.6,-8.638
2.0271,0.0,0.0,1.0,0.0,-0.062,1.6,-8.639
2.0413,0.0,0.0,1.0,0.0,-0.062,1.6,-8.639
2.0553,0.0,0.0,1.0,0.0,-0.061,1.6,-8.64
2.0697,0.0,0.0,1.0,0.0,-0.062,1.6,-8.64
2.0835,0.0,0.0,1.0,0.0,-0.061,1.6,-8.641
2.0969,0.0,0.0,1.0,0.0,-0.061,1.6,-8.641
2.1105,0.0,0.0,1.0,0.0,-0.061,1.6,-8.641
2.1249,0.0,0.0,1.0,0.0,-0.061,1.6,-8.641
2.1393,0.0,0.0,1.0,0.0,-0.06,1.6,-8.642
2.1526,0.0,0.0,1.0,0.0,-0.061,1.6,-8.641
2.1661,0.0,0.0,1.0,0.0,-0.061,1.6,-8.642
2.1807,0.0,0.0,1.0,0.0,-0.06,1.6,-8.642
2.194,0.0,0.0,1.0,0.0,-0.06,1.6,-8.642
2.2092,0.0,0.0,1.0,0.0,-0.06,1.6,-8.642
2.2224,0.0,0.0,1.0,0.0,-0.06,1.6,-8.643
